iter	Passed	Remaining
0	1	175
1	3	167
2	4	159
3	6	148
4	7	150
5	9	152
6	11	150
7	12	147
8	14	144
9	15	142
10	17	139
11	18	137
12	20	134
13	22	135
14	23	132
15	24	130
16	26	128
17	27	127
18	29	125
19	30	122
20	32	120
21	33	118
22	35	117
23	36	116
24	38	114
25	39	113
26	41	111
27	43	110
28	44	110
29	46	109
30	48	108
31	50	107
32	52	107
33	54	105
34	56	104
35	57	102
36	58	100
37	60	98
38	61	96
39	63	95
40	64	93
41	65	90
42	66	88
43	68	87
44	70	85
45	71	84
46	73	82
47	74	80
48	75	79
49	77	77
50	78	75
51	80	74
52	81	72
53	83	70
54	84	68
55	85	67
56	87	65
57	88	64
58	90	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	46
69	105	45
70	107	43
71	108	42
72	110	40
73	112	39
74	113	37
75	115	36
76	116	34
77	117	33
78	119	31
79	120	30
80	122	28
81	123	27
82	125	25
83	126	24
84	128	22
85	129	21
86	131	19
87	132	18
88	133	16
89	135	15
90	136	13
91	138	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	147	3
98	148	1
99	150	0
