iter	Passed	Remaining
0	350	350472
1	356	177709
2	357	118898
3	359	89439
4	360	71823
5	362	60042
6	363	51615
7	365	45314
8	367	40473
9	369	36570
10	370	33354
11	372	30704
12	375	28480
13	376	26530
14	378	24834
15	379	23346
16	381	22034
17	382	20891
18	384	19853
19	386	18934
20	388	18107
21	390	17346
22	391	16637
23	393	16021
24	395	15422
25	396	14867
26	398	14368
27	400	13894
28	402	13467
29	403	13054
30	405	12670
31	407	12317
32	408	11977
33	410	11654
34	411	11354
35	414	11087
36	415	10826
37	417	10568
38	418	10322
39	420	10093
40	422	9871
41	423	9663
42	425	9468
43	427	9279
44	429	9116
45	431	8941
46	432	8772
47	434	8613
48	436	8462
49	437	8315
50	439	8178
51	441	8040
52	443	7924
53	445	7796
54	446	7671
55	447	7551
56	449	7437
57	451	7328
58	453	7233
59	455	7136
60	457	7038
61	458	6939
62	460	6849
63	461	6756
64	463	6666
65	464	6578
66	466	6494
67	467	6412
68	469	6332
69	471	6257
70	472	6182
71	473	6108
72	475	6037
73	476	5967
74	478	5901
75	479	5834
76	481	5770
77	482	5707
78	484	5647
79	485	5588
80	487	5531
81	488	5473
82	489	5410
83	491	5356
84	492	5303
85	494	5253
86	495	5202
87	497	5153
88	499	5108
89	500	5062
90	502	5016
91	503	4970
92	505	4926
93	506	4885
94	508	4841
95	509	4799
96	511	4757
97	512	4716
98	514	4680
99	515	4643
100	517	4604
101	518	4567
102	520	4531
103	521	4495
104	523	4460
105	524	4424
106	526	4390
107	527	4357
108	529	4325
109	530	4294
110	532	4261
111	533	4230
112	535	4199
113	536	4169
114	537	4139
115	539	4110
116	540	4079
117	541	4050
118	543	4023
119	545	3996
120	546	3969
121	547	3942
122	549	3916
123	550	3890
124	552	3864
125	553	3839
126	554	3812
127	556	3789
128	557	3765
129	559	3744
130	560	3721
131	562	3698
132	564	3681
133	566	3661
134	568	3641
135	569	3620
136	571	3601
137	574	3585
138	575	3566
139	577	3546
140	578	3526
141	580	3505
142	581	3486
143	583	3467
144	584	3448
145	586	3429
146	588	3414
147	589	3395
148	591	3377
149	592	3359
150	594	3341
151	595	3323
152	597	3306
153	598	3288
154	600	3271
155	601	3254
156	603	3239
157	604	3222
158	606	3206
159	607	3190
160	608	3172
161	610	3156
162	611	3142
163	615	3139
164	619	3135
165	622	3128
166	624	3115
167	626	3103
168	628	3090
169	630	3077
170	632	3064
171	634	3052
172	635	3040
173	637	3026
174	639	3013
175	640	2999
176	642	2987
177	644	2975
178	647	2967
179	650	2961
180	652	2951
181	653	2939
182	655	2927
183	657	2916
184	659	2905
185	661	2896
186	664	2890
187	666	2879
188	668	2869
189	670	2857
190	672	2847
191	674	2836
192	676	2827
193	678	2818
194	680	2807
195	681	2797
196	683	2786
197	685	2775
198	687	2769
199	689	2759
200	692	2750
201	693	2740
202	695	2730
203	697	2719
204	698	2710
205	700	2700
206	702	2690
207	704	2680
208	705	2671
209	707	2661
210	714	2670
211	715	2660
212	717	2651
213	719	2642
214	721	2634
215	725	2631
216	729	2630
217	730	2620
218	732	2610
219	733	2602
220	736	2596
221	738	2586
222	739	2576
223	741	2567
224	742	2557
225	743	2547
226	745	2538
227	746	2528
228	749	2522
229	750	2512
230	752	2503
231	753	2494
232	754	2485
233	756	2476
234	758	2467
235	759	2459
236	761	2450
237	762	2441
238	764	2434
239	766	2425
240	767	2417
241	768	2408
242	770	2399
243	771	2391
244	773	2383
245	774	2374
246	776	2365
247	777	2358
248	779	2350
249	780	2342
250	782	2334
251	783	2326
252	785	2318
253	786	2310
254	788	2303
255	789	2295
256	791	2289
257	793	2282
258	795	2275
259	796	2267
260	798	2261
261	800	2254
262	801	2247
263	803	2239
264	805	2233
265	806	2225
266	808	2219
267	809	2212
268	811	2205
269	813	2200
270	815	2193
271	816	2185
272	818	2179
273	819	2172
274	823	2169
275	827	2170
276	829	2166
277	832	2160
278	946	2445
279	950	2443
280	956	2446
281	969	2468
282	976	2473
283	982	2476
284	989	2482
285	997	2491
286	1005	2497
287	1010	2497
288	1013	2493
289	1018	2493
290	1020	2486
291	1022	2479
292	1024	2472
293	1027	2466
294	1029	2460
